human,model,pomc
0.8115,0.5674,0.763
0.8115,0.5674,0.7624
0.8115,0.5674,0.7735
0.8115,0.5674,0.7176
0.8115,0.5674,0.7384
0.8115,0.5674,0.7419
0.8115,0.5674,0.7614
0.8115,0.5674,0.7483
0.8115,0.5674,0.7673
0.8115,0.5674,0.7648
