human,model,pomc
0.8115,0.5674,0.8328
0.8115,0.5674,0.8355
0.8115,0.5674,0.8389
0.8115,0.5674,0.8321
0.8115,0.5674,0.8338
0.8115,0.5674,0.8329
0.8115,0.5674,0.8305
0.8115,0.5674,0.8346
0.8115,0.5674,0.8298
0.8115,0.5674,0.8328
