human,model,pomc
0.8115,0.5674,0.7783
0.8115,0.5674,0.7822
0.8115,0.5674,0.7848
0.8115,0.5674,0.7899
0.8115,0.5674,0.7739
0.8115,0.5674,0.782
0.8115,0.5674,0.7991
0.8115,0.5674,0.7906
0.8115,0.5674,0.7883
0.8115,0.5674,0.7864
