human,model,pomc
0.8115,0.5674,0.7524
0.8115,0.5674,0.7504
0.8115,0.5674,0.7393
0.8115,0.5674,0.7452
0.8115,0.5674,0.7631
0.8115,0.5674,0.7636
0.8115,0.5674,0.7518
0.8115,0.5674,0.739
0.8115,0.5674,0.7493
0.8115,0.5674,0.7481
