human,model,pseudo_lb,eamc,greedy
0.9203,0.5674,0.9539,0.94,0.97
0.9203,0.5674,0.9576,0.9435,0.9626
0.9203,0.5674,0.9483,0.9374,0.9718
0.9203,0.5674,0.9503,0.9524,0.9758
0.9203,0.5674,0.9509,0.9541,0.9761
0.9203,0.5674,0.9467,0.9439,0.9718
0.9203,0.5674,0.9501,0.9078,0.9541
0.9203,0.5674,0.9534,0.9547,0.9777
0.9203,0.5674,0.9525,0.9087,0.9618
0.9203,0.5674,0.9519,0.8369,0.9294
