human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.7052,0.5674,0.9094,0.8345,0.9137,0.9175,0.9213
0.7052,0.5674,0.903,0.8394,0.9126,0.9171,0.9214
0.7052,0.5674,0.901,0.8376,0.9134,0.9179,0.9215
0.7052,0.5674,0.9051,0.8312,0.9162,0.9172,0.9221
0.7052,0.5674,0.9062,0.8396,0.9165,0.9166,0.9213
0.7052,0.5674,0.9035,0.8331,0.913,0.9168,0.9206
0.7052,0.5674,0.9024,0.8314,0.9131,0.9158,0.9212
0.7052,0.5674,0.9002,0.8293,0.9138,0.9174,0.9206
0.7052,0.5674,0.9038,0.8294,0.9153,0.9191,0.9208
0.7052,0.5674,0.9,0.8349,0.9149,0.9163,0.9224
