human,model,pseudo_lb,pomc,eamc,linear_program,check_all
0.8984,0.5674,0.9171,0.8202,0.9284,0.9325,0.9521
0.8984,0.5674,0.9171,0.8326,0.9248,0.9252,0.9466
0.8984,0.5674,0.9159,0.8153,0.9222,0.9251,0.9492
0.8984,0.5674,0.914,0.8246,0.9197,0.9238,0.9452
0.8984,0.5674,0.9164,0.8242,0.9234,0.9272,0.9477
0.8984,0.5674,0.9143,0.8258,0.9268,0.928,0.9476
0.8984,0.5674,0.9166,0.8172,0.9226,0.928,0.9489
0.8984,0.5674,0.9189,0.8241,0.931,0.9352,0.9479
0.8984,0.5674,0.9182,0.8257,0.9294,0.9367,0.9484
0.8984,0.5674,0.9175,0.8245,0.925,0.9301,0.9509
