human,model,pomc
0.8115,0.5674,0.8139
0.8115,0.5674,0.8167
0.8115,0.5674,0.8217
0.8115,0.5674,0.8131
0.8115,0.5674,0.8178
0.8115,0.5674,0.8146
0.8115,0.5674,0.8246
0.8115,0.5674,0.8157
0.8115,0.5674,0.8208
0.8115,0.5674,0.8136
