human,model,pomc
0.8115,0.5674,0.8341
0.8115,0.5674,0.8283
0.8115,0.5674,0.8338
0.8115,0.5674,0.8348
0.8115,0.5674,0.8332
0.8115,0.5674,0.829
0.8115,0.5674,0.836
0.8115,0.5674,0.8301
0.8115,0.5674,0.8338
0.8115,0.5674,0.8305
