human,model,pseudo_lb,pomc,eamc
0.9429,0.5674,0.992,0.8214,0.8359
0.9429,0.5674,0.9889,0.8176,0.8574
0.9429,0.5674,0.9918,0.808,0.8287
0.9429,0.5674,0.9899,0.8104,0.8401
0.9429,0.5674,0.9914,0.8222,0.8376
