human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9157,0.8781,0.9441
0.8984,0.5674,0.9157,0.8773,0.9425
0.8984,0.5674,0.9157,0.8789,0.9409
0.8984,0.5674,0.9157,0.8793,0.9418
0.8984,0.5674,0.9157,0.8816,0.943
