human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.8883,0.7867,0.879
0.8984,0.5674,0.9235,0.7921,0.8934
0.8984,0.5674,0.921,0.7939,0.8908
0.8984,0.5674,0.9207,0.7828,0.8841
0.8984,0.5674,0.8745,0.771,0.8738
