human,model,pseudo_lb,pomc,eamc
0.9429,0.5674,0.9889,0.82,0.8829
0.9429,0.5674,0.9859,0.8162,0.8861
0.9429,0.5674,0.9927,0.8175,0.8715
0.9429,0.5674,0.9931,0.817,0.879
0.9429,0.5674,0.991,0.8128,0.8796
