human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9145,0.7871,0.8911
0.8984,0.5674,0.905,0.7802,0.8896
0.8984,0.5674,0.905,0.7848,0.8878
0.8984,0.5674,0.8759,0.7818,0.8721
0.8984,0.5674,0.9038,0.7878,0.8933
