human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9152,0.8594,0.9353
0.8984,0.5674,0.9158,0.8573,0.9361
0.8984,0.5674,0.9151,0.8655,0.9375
0.8984,0.5674,0.9148,0.8681,0.9369
0.8984,0.5674,0.9168,0.8621,0.9369
