human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8196,0.8194,0.8199,0.9563,0.8462,0.5662,0.9538
0.796,0.5674,0.8241,0.8231,0.8244,0.9578,0.8533,0.5687,0.954
0.796,0.5674,0.8202,0.8199,0.8203,0.955,0.8495,0.5654,0.9531
0.796,0.5674,0.8229,0.8222,0.823,0.9555,0.8487,0.5713,0.9521
0.796,0.5674,0.8231,0.823,0.8225,0.9564,0.8472,0.5671,0.9539
0.796,0.5674,0.8227,0.8219,0.8219,0.9559,0.8521,0.5686,0.9529
0.796,0.5674,0.8233,0.8224,0.8228,0.9569,0.8466,0.5676,0.9552
0.796,0.5674,0.8211,0.8209,0.8198,0.9562,0.8532,0.5685,0.9528
0.796,0.5674,0.8198,0.8197,0.8196,0.9555,0.8468,0.5645,0.9523
0.796,0.5674,0.8192,0.818,0.8187,0.9539,0.8516,0.5685,0.95
