human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8347,0.8337,0.8337,0.495,0.938,0.3478,0.5285
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.9393,0.3477,0.5284
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.9386,0.3477,0.5284
0.8021,0.5674,0.8348,0.8338,0.8338,0.4948,0.9365,0.3478,0.5284
0.8021,0.5674,0.8348,0.8338,0.8338,0.4948,0.9406,0.3477,0.5283
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.9406,0.3477,0.5282
0.8021,0.5674,0.8348,0.8339,0.8339,0.4948,0.9352,0.3476,0.5283
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.9392,0.3477,0.5284
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.94,0.3477,0.5285
0.8021,0.5674,0.8348,0.8338,0.8338,0.4949,0.9358,0.3478,0.5284
