human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7768,0.7785,0.7786,0.9717,0.8708,0.585,0.9677
0.7051,0.5674,0.7764,0.7734,0.7733,0.9722,0.8716,0.5885,0.9634
0.7051,0.5674,0.7703,0.774,0.7742,0.9712,0.8655,0.59,0.9621
0.7051,0.5674,0.7763,0.7773,0.777,0.9704,0.8703,0.5899,0.96
0.7051,0.5674,0.7642,0.7773,0.7773,0.9717,0.8719,0.5864,0.9663
0.7051,0.5674,0.7774,0.7805,0.7804,0.9703,0.8744,0.5844,0.9633
0.7051,0.5674,0.7694,0.7733,0.7733,0.9692,0.8721,0.5833,0.9625
0.7051,0.5674,0.7783,0.7784,0.7788,0.973,0.8776,0.5803,0.9686
0.7051,0.5674,0.7722,0.7799,0.7796,0.9719,0.8724,0.5831,0.9668
0.7051,0.5674,0.781,0.7812,0.781,0.9717,0.8773,0.5861,0.9625
