human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7717,0.7724,0.7723,0.9649,0.86,0.5726,0.9619
0.7051,0.5674,0.7691,0.7759,0.7758,0.9678,0.8734,0.5712,0.9652
0.7051,0.5674,0.7635,0.7742,0.7744,0.9643,0.8636,0.5708,0.962
0.7051,0.5674,0.7623,0.7759,0.776,0.9669,0.868,0.5735,0.9643
0.7051,0.5674,0.7628,0.7711,0.7713,0.9659,0.8729,0.5743,0.962
0.7051,0.5674,0.7751,0.7752,0.7751,0.9637,0.8674,0.5705,0.9603
0.7051,0.5674,0.7813,0.7819,0.7819,0.9645,0.8701,0.5738,0.9631
0.7051,0.5674,0.7646,0.777,0.7772,0.9669,0.8623,0.5734,0.9632
0.7051,0.5674,0.7707,0.7751,0.7751,0.9662,0.8666,0.5748,0.9633
0.7051,0.5674,0.7793,0.7786,0.7787,0.9677,0.8719,0.5701,0.9662
