human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8347,0.9372,0.9377,0.495,0.9341,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9385,0.9995,0.9968
0.8021,0.5674,0.8347,0.9373,0.9378,0.4949,0.9372,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9383,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9354,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9395,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9331,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4951,0.9407,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4949,0.9372,0.9995,0.9968
0.8021,0.5674,0.8348,0.9373,0.9378,0.4948,0.94,0.9995,0.9968
