human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8136,0.8948,0.8964,0.952,0.843,0.991,0.9159
0.796,0.5674,0.8184,0.9037,0.9046,0.9533,0.8417,0.9921,0.9302
0.796,0.5674,0.8127,0.8908,0.894,0.9458,0.8363,0.9853,0.9011
0.796,0.5674,0.8137,0.895,0.8995,0.9502,0.836,0.9868,0.8921
0.796,0.5674,0.8096,0.8896,0.891,0.9501,0.8314,0.9882,0.9085
0.796,0.5674,0.8256,0.9055,0.9088,0.9501,0.8404,0.9911,0.9059
0.796,0.5674,0.8155,0.8917,0.8945,0.9521,0.8381,0.9884,0.9169
0.796,0.5674,0.8196,0.9029,0.9054,0.9489,0.8438,0.9933,0.9077
0.796,0.5674,0.8202,0.9005,0.9024,0.9505,0.8395,0.9902,0.9037
0.796,0.5674,0.8113,0.8912,0.8926,0.9476,0.8346,0.9822,0.8977
