human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7768,0.8983,0.8974,0.9717,0.8747,0.9939,0.9552
0.7051,0.5674,0.7714,0.9002,0.9019,0.9722,0.8697,0.9913,0.9445
0.7051,0.5674,0.7709,0.8958,0.8966,0.9701,0.8711,0.9916,0.9324
0.7051,0.5674,0.7766,0.8973,0.8985,0.9711,0.8753,0.9938,0.9524
0.7051,0.5674,0.7681,0.9011,0.9001,0.9724,0.8759,0.9936,0.9478
0.7051,0.5674,0.7774,0.8989,0.8994,0.9722,0.8749,0.9937,0.9494
0.7051,0.5674,0.7777,0.92,0.9214,0.9743,0.8741,0.9926,0.9494
0.7051,0.5674,0.765,0.8847,0.8855,0.9701,0.8673,0.9924,0.9545
0.7051,0.5674,0.7706,0.9131,0.9131,0.9711,0.8753,0.9947,0.9502
0.7051,0.5674,0.7782,0.8916,0.8909,0.972,0.8722,0.9945,0.9528
