human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.6777,0.9262,0.9262,0.4267,0.9011,0.9996,0.9949
0.8021,0.5674,0.8167,0.9276,0.9278,0.4194,0.9044,0.9998,0.9972
0.8021,0.5674,0.8341,0.9372,0.9376,0.4119,0.904,0.9998,0.9929
0.8021,0.5674,0.7365,0.947,0.9473,0.4304,0.9016,1.0,0.9969
0.8021,0.5674,0.8283,0.9273,0.9276,0.4217,0.9027,0.9998,0.9974
0.8021,0.5674,0.7986,0.9207,0.921,0.408,0.8949,0.9995,0.9947
0.8021,0.5674,0.8102,0.914,0.9143,0.4207,0.8946,0.9995,0.9952
0.8021,0.5674,0.7799,0.9212,0.9213,0.4082,0.9054,0.9996,0.9956
0.8021,0.5674,0.7787,0.9238,0.9239,0.4183,0.9006,0.9996,0.9968
0.8021,0.5674,0.7864,0.9252,0.9254,0.4103,0.8998,0.9996,0.996
