human,model,lb_best_policy,pseudo_lb_best_policy_overloaded,pomc
0.8115,0.5674,0.9966,0.9471,0.7325
0.8115,0.5674,0.9993,0.9318,0.7206
0.8115,0.5674,0.9969,0.938,0.7272
0.8115,0.5674,0.9979,0.9096,0.7285
0.8115,0.5674,0.997,0.9513,0.7283
0.8115,0.5674,0.996,0.9499,0.726
0.8115,0.5674,0.9991,0.9443,0.7237
0.8115,0.5674,0.997,0.9612,0.7301
0.8115,0.5674,0.9973,0.9456,0.7312
0.8115,0.5674,0.9987,0.9276,0.7147
