human,model,lb_best_policy,pseudo_lb_best_policy_overloaded,pomc
0.8115,0.5674,0.9966,0.9471,0.757
0.8115,0.5674,0.9957,0.9165,0.7495
0.8115,0.5674,0.9971,0.9285,0.7482
0.8115,0.5674,0.9979,0.9335,0.7559
0.8115,0.5674,0.9972,0.9366,0.7588
0.8115,0.5674,0.9985,0.9496,0.7527
0.8115,0.5674,0.9992,0.9394,0.7507
0.8115,0.5674,0.9972,0.944,0.7547
0.8115,0.5674,0.9972,0.9181,0.741
0.8115,0.5674,0.9986,0.9336,0.7556
