human,model,lb_best_policy,pseudo_lb_best_policy_overloaded,pomc
0.8115,0.5674,0.9966,0.9471,0.738
0.8115,0.5674,0.9977,0.9357,0.7304
0.8115,0.5674,0.9975,0.9301,0.7281
0.8115,0.5674,0.9967,0.9492,0.7306
0.8115,0.5674,0.9972,0.9358,0.7378
0.8115,0.5674,0.9975,0.9468,0.7328
0.8115,0.5674,0.9985,0.9329,0.7348
0.8115,0.5674,0.9983,0.951,0.7314
0.8115,0.5674,0.9988,0.9437,0.7351
0.8115,0.5674,0.998,0.9492,0.7355
