human,model,lb_best_policy,pseudo_lb_best_policy_overloaded,pomc
0.8115,0.5674,0.9966,0.9471,0.7575
0.8115,0.5674,0.9985,0.9346,0.7574
0.8115,0.5674,0.9968,0.9372,0.7542
0.8115,0.5674,0.9984,0.9395,0.748
0.8115,0.5674,0.9974,0.9506,0.7577
0.8115,0.5674,0.997,0.9355,0.7579
0.8115,0.5674,0.9975,0.9437,0.7613
0.8115,0.5674,0.9968,0.9416,0.7522
0.8115,0.5674,0.9976,0.9573,0.7592
0.8115,0.5674,0.9983,0.9047,0.7485
