human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9157,0.8777,0.9426
0.8984,0.5674,0.9157,0.879,0.9431
0.8984,0.5674,0.9157,0.8799,0.9417
0.8984,0.5674,0.9157,0.8828,0.942
0.8984,0.5674,0.9157,0.8833,0.9419
