human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9145,0.7867,0.8951
0.8984,0.5674,0.9236,0.7931,0.9039
0.8984,0.5674,0.9044,0.7878,0.9024
0.8984,0.5674,0.9066,0.7923,0.8928
0.8984,0.5674,0.9066,0.7941,0.8954
