human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.9152,0.85,0.9365
0.8984,0.5674,0.9178,0.8538,0.9378
0.8984,0.5674,0.9147,0.844,0.9369
0.8984,0.5674,0.913,0.8407,0.9382
0.8984,0.5674,0.9165,0.8541,0.9389
