human,model,pomc
0.8021,0.5674,0.8173
0.8021,0.5674,0.8202
0.8021,0.5674,0.825
0.8021,0.5674,0.8191
0.8021,0.5674,0.8173
0.8021,0.5674,0.8191
0.8021,0.5674,0.8243
0.8021,0.5674,0.8111
0.8021,0.5674,0.8198
0.8021,0.5674,0.8221
