human,model,pomc
0.8115,0.5674,0.8446
0.8115,0.5674,0.8428
0.8115,0.5674,0.8384
0.8115,0.5674,0.8432
0.8115,0.5674,0.8439
0.8115,0.5674,0.8459
0.8115,0.5674,0.842
0.8115,0.5674,0.8426
0.8115,0.5674,0.8406
0.8115,0.5674,0.8421
