human,model,pomc
0.8021,0.5674,0.8566
0.8021,0.5674,0.8598
0.8021,0.5674,0.8573
0.8021,0.5674,0.8581
0.8021,0.5674,0.8567
0.8021,0.5674,0.8614
0.8021,0.5674,0.8573
0.8021,0.5674,0.8555
0.8021,0.5674,0.8589
0.8021,0.5674,0.8611
