human,model,pomc
0.8021,0.5674,0.8418
0.8021,0.5674,0.8472
0.8021,0.5674,0.8466
0.8021,0.5674,0.8518
0.8021,0.5674,0.8492
0.8021,0.5674,0.8492
0.8021,0.5674,0.8462
0.8021,0.5674,0.8457
0.8021,0.5674,0.8444
0.8021,0.5674,0.8463
