human,model,pomc
0.8021,0.5674,0.8289
0.8021,0.5674,0.8178
0.8021,0.5674,0.8263
0.8021,0.5674,0.8283
0.8021,0.5674,0.8347
0.8021,0.5674,0.8278
0.8021,0.5674,0.8381
0.8021,0.5674,0.8257
0.8021,0.5674,0.8239
0.8021,0.5674,0.821
