human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.7051,0.5674,0.7717,0.8942,0.8939,0.9649,0.8629,0.9936,0.9599
0.7051,0.5674,0.7671,0.8967,0.8963,0.9669,0.8692,0.9932,0.96
0.7051,0.5674,0.7649,0.8927,0.8924,0.9647,0.874,0.9939,0.96
0.7051,0.5674,0.7651,0.8928,0.8919,0.9669,0.8699,0.9931,0.9639
0.7051,0.5674,0.7787,0.9005,0.9013,0.967,0.8685,0.9929,0.959
0.7051,0.5674,0.7648,0.8941,0.8946,0.9659,0.8639,0.9932,0.9619
0.7051,0.5674,0.7673,0.8931,0.8927,0.9666,0.871,0.993,0.9595
0.7051,0.5674,0.777,0.8996,0.9,0.9675,0.8666,0.9935,0.9608
0.7051,0.5674,0.7654,0.8922,0.891,0.9666,0.8694,0.9926,0.9614
0.7051,0.5674,0.775,0.8917,0.8928,0.9659,0.8711,0.9926,0.9624
