human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8217,0.8917,0.8937,0.9579,0.851,0.9891,0.921
0.796,0.5674,0.7693,0.8876,0.889,0.9609,0.8514,0.9897,0.9339
0.796,0.5674,0.8163,0.883,0.8835,0.9594,0.852,0.9875,0.9456
0.796,0.5674,0.7413,0.8937,0.8939,0.9593,0.8537,0.9887,0.9385
0.796,0.5674,0.7856,0.879,0.8808,0.9577,0.8491,0.9854,0.9421
0.796,0.5674,0.8252,0.8997,0.9022,0.9633,0.8591,0.991,0.9344
0.796,0.5674,0.7968,0.8993,0.9029,0.9639,0.8552,0.9919,0.9427
0.796,0.5674,0.8174,0.8835,0.8848,0.9593,0.8473,0.9789,0.9306
0.796,0.5674,0.7997,0.8995,0.9022,0.9618,0.8526,0.9915,0.9463
0.796,0.5674,0.8317,0.9102,0.912,0.9638,0.853,0.9933,0.9354
