human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8265,0.9257,0.9286,0.8669,0.8729,0.9977,0.9553
0.8026,0.5674,0.7979,0.9311,0.9347,0.879,0.8767,0.9971,0.9295
0.8026,0.5674,0.8259,0.9296,0.9331,0.8686,0.8772,0.9977,0.9621
0.8026,0.5674,0.7885,0.9082,0.9115,0.867,0.8761,0.9973,0.9613
0.8026,0.5674,0.8146,0.913,0.9164,0.8723,0.8706,0.997,0.9426
0.8026,0.5674,0.8237,0.9303,0.9332,0.868,0.8761,0.9981,0.9446
0.8026,0.5674,0.828,0.9283,0.9308,0.8676,0.8704,0.9973,0.95
0.8026,0.5674,0.8199,0.9186,0.9214,0.8746,0.8828,0.996,0.9387
0.8026,0.5674,0.8216,0.9217,0.9259,0.8657,0.8776,0.9982,0.9589
0.8026,0.5674,0.8208,0.9215,0.9254,0.8661,0.8785,0.9979,0.9398
