human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8287,0.9259,0.9285,0.9417,0.8981,0.9971,0.965
0.8026,0.5674,0.828,0.9183,0.9211,0.9451,0.8976,0.9978,0.9706
0.8026,0.5674,0.8261,0.92,0.9231,0.9481,0.8981,0.9981,0.9671
0.8026,0.5674,0.8245,0.9181,0.9208,0.9455,0.8983,0.9973,0.9626
0.8026,0.5674,0.8279,0.9214,0.9242,0.949,0.899,0.9979,0.9549
0.8026,0.5674,0.8274,0.9187,0.9221,0.9472,0.8983,0.998,0.969
0.8026,0.5674,0.8251,0.9176,0.9203,0.9449,0.8981,0.9981,0.9635
0.8026,0.5674,0.828,0.9264,0.928,0.9426,0.8968,0.9981,0.9648
0.8026,0.5674,0.8278,0.9215,0.924,0.9485,0.9005,0.9978,0.9663
0.8026,0.5674,0.8304,0.9271,0.9296,0.9491,0.8982,0.9983,0.9602
