human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8287,0.8286,0.8286,0.9417,0.9008,0.5729,0.9567
0.8026,0.5674,0.8305,0.8301,0.8299,0.9498,0.8975,0.5739,0.9583
0.8026,0.5674,0.8255,0.8259,0.8258,0.9408,0.8967,0.573,0.9581
0.8026,0.5674,0.8281,0.8272,0.8271,0.9485,0.8993,0.5719,0.9551
0.8026,0.5674,0.8298,0.8293,0.8294,0.9416,0.8966,0.5765,0.9597
0.8026,0.5674,0.8267,0.8269,0.8268,0.9485,0.8987,0.5734,0.9593
0.8026,0.5674,0.8291,0.8287,0.8287,0.9428,0.898,0.5698,0.9513
0.8026,0.5674,0.8304,0.83,0.8299,0.9482,0.9004,0.5715,0.9577
0.8026,0.5674,0.8271,0.827,0.8269,0.9437,0.8986,0.5741,0.9546
0.8026,0.5674,0.8236,0.8243,0.8244,0.9477,0.9029,0.578,0.9603
