human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8021,0.5674,0.8289,0.8273,0.8273,0.4577,0.9144,0.3677,0.5496
0.8021,0.5674,0.8274,0.8265,0.8264,0.4554,0.9153,0.3711,0.5571
0.8021,0.5674,0.8303,0.8294,0.8293,0.46,0.9212,0.3618,0.5403
0.8021,0.5674,0.8296,0.829,0.829,0.4632,0.9136,0.3614,0.5423
0.8021,0.5674,0.8303,0.8295,0.8293,0.4547,0.9194,0.4004,0.6003
0.8021,0.5674,0.8289,0.8284,0.8285,0.4646,0.9155,0.3536,0.5293
0.8021,0.5674,0.8298,0.8286,0.8286,0.4614,0.9161,0.3689,0.5513
0.8021,0.5674,0.8293,0.8284,0.8284,0.4637,0.9162,0.3709,0.5584
0.8021,0.5674,0.8277,0.827,0.827,0.4597,0.9174,0.3779,0.5713
0.8021,0.5674,0.8163,0.8282,0.8282,0.4637,0.9243,0.3712,0.5665
