human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.8026,0.5674,0.8265,0.8255,0.8258,0.8669,0.8751,0.5719,0.9136
0.8026,0.5674,0.8199,0.8194,0.8192,0.8674,0.8767,0.5753,0.9118
0.8026,0.5674,0.8275,0.8266,0.8266,0.8715,0.8775,0.5756,0.9203
0.8026,0.5674,0.8293,0.8268,0.8268,0.8712,0.882,0.5702,0.9057
0.8026,0.5674,0.8252,0.823,0.823,0.8737,0.8761,0.5841,0.9196
0.8026,0.5674,0.8147,0.8113,0.8111,0.8634,0.8715,0.574,0.9051
0.8026,0.5674,0.7879,0.819,0.8191,0.8714,0.8703,0.566,0.8997
0.8026,0.5674,0.8208,0.8168,0.8168,0.8739,0.8774,0.5697,0.9013
0.8026,0.5674,0.8186,0.8181,0.8184,0.8724,0.8744,0.5727,0.9146
0.8026,0.5674,0.7925,0.8188,0.8188,0.8687,0.8792,0.5659,0.8966
