human,model,single_best_policy,mode_policy,weighted_mode_policy,select_all_policy,random,lb_best_policy,pseudo_lb_best_policy_overloaded
0.796,0.5674,0.8217,0.8214,0.8218,0.9579,0.8514,0.5804,0.9511
0.796,0.5674,0.8157,0.8138,0.8153,0.9612,0.8496,0.5761,0.956
0.796,0.5674,0.7868,0.8059,0.8061,0.9591,0.8483,0.5732,0.9532
0.796,0.5674,0.8263,0.8251,0.826,0.9647,0.8588,0.5687,0.9628
0.796,0.5674,0.7722,0.8113,0.8114,0.9635,0.8563,0.5808,0.9549
0.796,0.5674,0.8256,0.8246,0.8254,0.9627,0.8509,0.5791,0.956
0.796,0.5674,0.8338,0.8338,0.8338,0.9659,0.8618,0.5732,0.9617
0.796,0.5674,0.7945,0.8122,0.8134,0.9613,0.8445,0.5906,0.9524
0.796,0.5674,0.7711,0.8112,0.8113,0.9583,0.8516,0.5803,0.9477
0.796,0.5674,0.8195,0.8197,0.8196,0.9612,0.8556,0.5825,0.9554
