human,model,pseudo_lb,check_all
0.9203,0.5674,0.965,0.7108
0.9203,0.5674,0.9721,0.7173
0.9203,0.5674,0.9713,0.7475
0.9203,0.5674,0.9653,0.7291
0.9203,0.5674,0.9707,0.7082
