human,model,pseudo_lb,pomc,eamc
0.8984,0.5674,0.8883,0.7775,0.8872
0.8984,0.5674,0.9166,0.7901,0.9025
0.8984,0.5674,0.9038,0.783,0.8938
0.8984,0.5674,0.8982,0.7715,0.8824
0.8984,0.5674,0.9195,0.7774,0.8903
